,0,1
0,47954363717601,1
1,96555080509557,1
2,99237262870233,1
3,61324064631444,1
4,36869491550236,1
5,82831288226654,2
6,62421072498492,1
7,7449406895917,1
8,71452348305319,1
9,71072739966501,1
10,90017464713597,1
11,59869295195254,2
12,33950340666258,1
13,81497700511094,1
14,27969073481576,1
15,92648460151708,1
16,82682400519045,1
17,30015411223616,1
18,16656915112167,2
19,42300595279532,1
20,18135016021872,1
21,55352138911412,2
22,43258879793416,2
23,12286878627697,2
24,55591885572350,1
25,42970267016790,1
26,20481038521761,1
27,63785590355127,1
28,80580539460297,1
29,44663688185648,2
30,86478129201299,1
31,21816064211722,1
32,41519179179069,1
33,76937272387108,1
34,47090927805407,1
35,85682692916273,2
36,64040556491031,1
37,19709746202024,1
38,86782380193271,1
39,86660513883488,1
40,64161703903708,1
41,31334532867941,2
42,90281136428746,1
43,45899775235330,1
44,40131312193935,1
45,75378745913384,2
46,75394557342178,2
47,86623697374364,2
48,97277276436522,2
49,65649195281029,1
50,93289476854168,2
51,19930726961832,1
52,10340703105804,1
53,81506456970336,1
54,2325673881983,2
55,29116132633327,3
56,71502765140894,1
57,45915772101327,1
58,44852327370629,1
59,88932201684899,1
60,72428188575763,2
61,85573573248748,2
62,39689398165287,2
63,52086754864167,1
64,71045496035638,1
65,92179691538025,1
66,6180053613821,1
67,17725596950736,1
68,75693072209080,1
69,33835419805223,1
70,21734647620601,1
71,85211111882153,2
72,98192218234398,2
73,93272887234833,3
74,48913159643929,2
75,14097288270052,1
76,44659785091821,1
77,25724619547793,2
78,83580816363531,1
79,60471618397489,1
80,23025248814140,1
81,70973539329090,1
82,41248287825667,2
83,43541927745567,2
84,52419208585497,1
85,71455423963254,2
86,31508319187423,1
87,24643489495720,1
88,86669761822445,2
89,33206461744622,1
90,47378382805110,1
91,53298129244672,2
92,33803911095915,1
93,3409328104584,1
94,75145792352301,1
95,37276862601211,1
96,60153672980402,1
97,32423308555018,1
98,9109211095237,1
99,66313385059330,1
100,40569138768159,1
101,97670772301809,1
102,90535540347783,1
103,32546010288160,1
104,17324097155690,1
105,44811550593112,1
106,31529112109404,1
107,25918257577738,2
108,89137642718223,2
109,23981138304752,1
110,46859821223472,2
111,22465627347577,2
112,29405177337186,1
113,86556518389418,2
114,53971662293618,2
115,32767938977198,2
116,14176464189216,3
117,25888933833714,2
118,73934558080032,1
119,7049330148592,1
120,67093961264705,1
121,4237033509449,1
122,26290031661782,1
123,80876947820815,1
124,19941873974382,2
125,88448355777271,2
126,92461917067877,1
127,38780225589304,1
128,54960501249306,1
129,77111172428195,2
130,31440482171925,1
131,12895473197137,2
132,73162611511787,2
133,61372433204836,1
134,22939413757196,2
135,55278660844215,1
136,68289929102411,1
137,4951766495466,2
138,77187738673543,2
139,37608674878236,1
140,48467405006842,1
141,73318577168507,1
142,49574496658893,2
143,33259600350315,1
144,22548697146069,1
145,94187146003405,1
146,84386218103568,1
147,9307669730380,1
148,14142336299032,1
149,22675062304025,1
150,23430818618772,1
151,66798976103781,1
