,0,1
0,86684188942224,4
1,81737638261389,10
2,67781299892142,10
3,69164434622113,9
4,78292397248633,4
5,19931637914689,6
6,47446764644836,4
7,23714783741796,4
8,86947988369284,4
9,41168972638841,6
10,94987929241379,6
11,69491747386329,4
12,26733344297131,5
13,3662783192949,4
14,67336318766648,5
15,66849861376371,4
16,33189378738461,10
17,32174963729688,4
18,466319416918,4
19,34463474143736,4
20,971889962862,4
21,1131198622799,6
22,84483334876423,5
23,712843414893,5
24,12891242761464,4
25,37422612621889,4
26,64241611322972,5
27,82133616842381,4
28,24421963127243,4
29,1286469161166,9
30,42932972469332,4
31,64921116982141,5
32,18127861772469,5
33,31648647881646,5
34,81693727377271,4
35,6498168342718,6
36,17289287963421,4
37,81262819493493,4
38,72634824218269,6
39,3316197163642,6
40,62341271226889,4
41,472964262442,4
42,37273124132411,4
43,71263326128816,4
44,12224948483911,4
45,31818671442219,5
46,28979216979317,5
47,8264744889113,5
48,79828377671367,4
49,8862614442263,4
50,88872296169713,4
51,36282112974148,4
52,31626124644172,4
53,2681129139682,9
54,78243669416731,4
55,12491967174498,4
56,63319411637232,6
57,6491798372113,5
58,36977236268111,4
59,47426931733126,4
60,18694973432287,4
61,71344388863468,6
62,2662317381424,4
63,18722632187969,4
64,98763291791448,4
65,24141486432179,4
66,21426611668662,5
67,37429397289343,4
68,8813893698146,4
69,7712194972442,8
70,29434637172646,4
71,49238142814462,4
72,63846788899793,4
73,12461676681246,4
74,92764323644987,5
75,86674112671771,4
76,86742721669431,4
